cd,estimate,sd,q025,q975,pop
OH-09,0.78373766,0.017603688,0.7495955,0.8204833,776198.0
OH-10,0.78068525,0.017739078,0.74630755,0.81760514,790946.0
OH-11,0.7764325,0.019083869,0.73789567,0.81524277,759272.0
OH-12,0.7847559,0.01767197,0.75027084,0.82119614,812667.0
OH-13,0.77958596,0.017748544,0.7451113,0.81643355,784965.0
OH-14,0.7829615,0.017613947,0.74877626,0.8194599,785592.0
OH-15,0.7812779,0.017796049,0.746477,0.81801,822958.0
OK-01,0.7801594,0.018725751,0.74320376,0.8205603,829496.0
OK-02,0.7831341,0.019244734,0.74487525,0.82382965,817506.0
OK-03,0.78527457,0.018684585,0.74887055,0.8257099,796982.0
OK-04,0.7838052,0.018569924,0.7471667,0.82399684,819547.0
OK-05,0.77509034,0.018839294,0.7379324,0.81558514,836446.0
OR-01,0.72574407,0.021951107,0.6798872,0.7673434,717097.0
OR-02,0.74764454,0.021341253,0.7033798,0.78783137,704731.0
OR-03,0.73382187,0.021658588,0.68874335,0.7750446,700356.0
OR-04,0.7415294,0.021355173,0.6967419,0.7815557,713359.0
OR-05,0.7360149,0.021597823,0.69093424,0.7769716,717262.0
OR-06,0.7417562,0.021476643,0.696789,0.7825936,721521.0
PA-01,0.76907486,0.018923577,0.73318076,0.8084722,768126.0
PA-02,0.7847556,0.019112747,0.74773633,0.8233567,738511.0
PA-03,0.7651421,0.020644657,0.7252058,0.80728024,767660.0
PA-04,0.7636818,0.019157918,0.7272349,0.80352664,786156.0
PA-05,0.77016366,0.01912268,0.7334946,0.80959564,768237.0
PA-06,0.7668782,0.01917586,0.7302083,0.8068122,795973.0
PA-07,0.7813908,0.01861549,0.74578667,0.8195823,788415.0
PA-08,0.78356874,0.018461239,0.74828535,0.82137287,773145.0
PA-09,0.78402704,0.018612606,0.7483009,0.8218084,797701.0
PA-10,0.77960044,0.018561905,0.74400234,0.81800765,792544.0
PA-11,0.7827779,0.0185812,0.7468613,0.8210671,781872.0
PA-12,0.7686544,0.018842619,0.73295075,0.8078513,754674.0
PA-13,0.783547,0.018625129,0.74792725,0.82152027,792899.0
PA-14,0.78191805,0.018535882,0.7462545,0.8199822,767341.0
PA-15,0.7818414,0.018618677,0.74614614,0.8199767,778819.0
PA-16,0.781601,0.018497014,0.74608177,0.8197542,758941.0
PA-17,0.7681221,0.018939914,0.7321682,0.8076523,753367.0
RI-01,0.76765233,0.02301949,0.7163218,0.8088862,556794.0
RI-02,0.76600087,0.023056203,0.7145979,0.80703884,556679.0
SC-01,0.76107657,0.018526744,0.72153866,0.79823625,797423.0
SC-02,0.76796556,0.018389294,0.7291141,0.8047956,764379.0
SC-03,0.77789193,0.017978035,0.7396362,0.8137447,766744.0
SC-04,0.7703253,0.018239247,0.731522,0.80673057,810342.0
