cd,estimate,sd,q025,q975,pop
MA-02,0.2243815,0.024345305,0.17832677,0.27510634,801932.0
MA-03,0.2166028,0.024237966,0.17095765,0.26750708,792172.0
MA-04,0.22249301,0.02422567,0.17667961,0.27281812,802351.0
MA-05,0.23451658,0.025208848,0.18665263,0.28756574,790991.0
MA-06,0.22662371,0.0245484,0.18033431,0.27751812,796608.0
MA-07,0.23761009,0.025465231,0.18935814,0.29090813,792910.0
MA-08,0.23264824,0.024834825,0.18527964,0.2849834,785102.0
MA-09,0.22321917,0.024276638,0.17753394,0.27335313,797322.0
MD-01,0.2072381,0.02408892,0.16630173,0.26056468,791828.0
MD-02,0.23192857,0.025882075,0.18732993,0.28906494,783072.0
MD-03,0.22652379,0.025518525,0.18275574,0.28238717,782813.0
MD-04,0.2619308,0.029158726,0.21075945,0.3257258,763408.0
MD-05,0.24736843,0.027012356,0.200067,0.30664963,805327.0
MD-06,0.20812361,0.024417387,0.16646576,0.26155776,821653.0
MD-07,0.24741593,0.027914302,0.19860204,0.30859196,741555.0
MD-08,0.24478078,0.027156835,0.19775024,0.30388543,773402.0
ME-01,0.22127734,0.03192067,0.16217546,0.29031977,707680.0
ME-02,0.20461652,0.030497478,0.14867549,0.27074417,697214.0
MI-01,0.2106769,0.020916257,0.17044427,0.2525344,787656.0
MI-02,0.20283464,0.020487327,0.1636102,0.2440529,789195.0
MI-03,0.21791738,0.021344459,0.1765385,0.26012456,791156.0
MI-04,0.21225277,0.020941993,0.1718722,0.25369734,785326.0
MI-05,0.2049373,0.020590236,0.16559851,0.24607424,775211.0
MI-06,0.23768044,0.02249774,0.19340953,0.28192842,768984.0
MI-07,0.21528168,0.021031868,0.17464876,0.25682744,792603.0
MI-08,0.21718179,0.021321457,0.1760429,0.25915858,769274.0
MI-09,0.20238432,0.020428512,0.16328852,0.24311124,782419.0
MI-10,0.21829593,0.021419175,0.17675772,0.2605668,775276.0
MI-11,0.2390413,0.022490334,0.19502306,0.2832249,787152.0
