cd,estimate,sd,q025,q975,pop
UT-01,0.8108474,0.019119576,0.773065,0.84979177,871885.0
UT-02,0.8075766,0.019088315,0.76958275,0.84648496,881182.0
UT-03,0.8194043,0.018464955,0.78269696,0.85715,830265.0
UT-04,0.8003193,0.020379338,0.759902,0.8417334,920858.0
VA-01,0.8361756,0.0154066365,0.8059851,0.86799806,823755.0
VA-02,0.8212277,0.016529333,0.7890639,0.8554805,788036.0
VA-03,0.80558807,0.018287791,0.76892227,0.84334946,775311.0
VA-04,0.81054616,0.017566364,0.7756681,0.84721243,810530.0
VA-05,0.8275561,0.015801214,0.796364,0.86076254,805289.0
VA-06,0.8235323,0.016153825,0.7922263,0.857094,797798.0
VA-07,0.8097026,0.017633596,0.77537596,0.8463475,825409.0
VA-08,0.8276461,0.016303293,0.79578024,0.86151904,788777.0
VA-09,0.8295922,0.015859228,0.7988462,0.8625573,789057.0
VA-10,0.8206106,0.017381854,0.78634644,0.856502,821146.0
VA-11,0.83572584,0.016381053,0.80330175,0.86906457,792714.0
VT-00,0.8194559,0.021448154,0.77431333,0.85856557,648585.0
WA-01,0.8220731,0.018111423,0.7864929,0.8593292,810476.0
WA-02,0.8281297,0.016812451,0.7955471,0.8629327,790108.0
WA-03,0.8200953,0.017826067,0.7857007,0.8565087,802801.0
WA-04,0.79752415,0.020378469,0.75808245,0.83934796,795521.0
WA-05,0.825554,0.017433366,0.7916286,0.86111027,801747.0
WA-06,0.8317025,0.016703302,0.7992903,0.86607414,800608.0
WA-07,0.83623815,0.016402543,0.8043609,0.8700251,815123.0
WA-08,0.82088745,0.01795836,0.7858588,0.8578956,794868.0
WA-09,0.81079394,0.019092701,0.7735726,0.850003,776917.0
WA-10,0.8127312,0.018371614,0.7770486,0.8502883,777325.0
WI-01,0.8099869,0.017296584,0.7722793,0.84244144,739669.0
WI-02,0.8221153,0.016315544,0.78697455,0.8528204,763418.0
WI-03,0.8176635,0.016795058,0.7815927,0.84893847,740819.0
WI-04,0.7882483,0.019735318,0.7460226,0.8254772,722785.0
WI-05,0.8257348,0.016137931,0.7908742,0.85602623,750316.0
WI-06,0.81623405,0.01682527,0.77981156,0.84766346,742999.0
WI-07,0.82308453,0.016477745,0.78752404,0.8538078,754074.0
WI-08,0.81322086,0.017132217,0.77601486,0.8452074,747170.0
WV-01,0.8182288,0.018249523,0.78221536,0.85560304,881908.0
WV-02,0.8188367,0.017927334,0.7838816,0.8559072,910606.0
WY-00,0.81948453,0.018981714,0.7813877,0.8568324,588050.0
