cd,estimate,sd,q025,q975,pop
TX-18,0.253765,0.019137824,0.21582313,0.29062405,825562.0
TX-19,0.31044805,0.020910433,0.26848707,0.3503174,787118.0
TX-20,0.26533574,0.020768441,0.2252207,0.30691046,766762.0
TX-21,0.3637525,0.021739837,0.31905317,0.40469006,845967.0
TX-22,0.31682372,0.021328859,0.27439862,0.35727927,894651.0
TX-23,0.2860608,0.020941392,0.2453571,0.32693097,805994.0
TX-24,0.3638783,0.022267329,0.31822735,0.4061465,772864.0
TX-25,0.32436323,0.021014875,0.28163844,0.36397994,826400.0
TX-26,0.34170195,0.021752613,0.29763377,0.38270897,884673.0
TX-27,0.29831308,0.020864476,0.25747478,0.33901918,794553.0
TX-28,0.2620566,0.021115849,0.22156273,0.30397743,828120.0
TX-29,0.2346083,0.020182956,0.19634028,0.27477264,785766.0
TX-30,0.25728828,0.019424934,0.21871881,0.29427254,788933.0
TX-31,0.33345318,0.021439688,0.28978124,0.37425232,901417.0
TX-32,0.29628313,0.019855287,0.25619987,0.33360744,766035.0
TX-33,0.23994736,0.01930845,0.20265059,0.27800924,790800.0
TX-34,0.24981733,0.021952456,0.20796633,0.29439527,811032.0
TX-35,0.28095466,0.01993729,0.24138483,0.3191437,873186.0
TX-36,0.29812714,0.020481909,0.25670138,0.33714393,816135.0
TX-37,0.36076355,0.021935547,0.31592363,0.40196347,776146.0
TX-38,0.33416808,0.021299055,0.29104635,0.3743773,810767.0
UT-01,0.49901757,0.039254095,0.43243414,0.5862722,871885.0
UT-02,0.48301163,0.038799256,0.41749233,0.57032907,881182.0
UT-03,0.5115707,0.038974416,0.4451215,0.5976175,830265.0
UT-04,0.4799139,0.039651603,0.41283295,0.56796926,920858.0
VA-01,0.40765426,0.026423503,0.3568995,0.46323746,823755.0
VA-02,0.3708747,0.025707815,0.32147077,0.42569366,788036.0
VA-03,0.3196838,0.0249077,0.27235144,0.37286922,775311.0
VA-04,0.33204064,0.024855109,0.28470215,0.38492945,810530.0
VA-05,0.38204,0.025824323,0.33261624,0.4373582,805289.0
VA-06,0.38809356,0.026449574,0.337273,0.4435551,797798.0
VA-07,0.3480789,0.02534608,0.29951033,0.40218714,825409.0
VA-08,0.3894281,0.026130559,0.3396061,0.4447792,788777.0
VA-09,0.4004157,0.027313527,0.34772262,0.45756394,789057.0
VA-10,0.3764632,0.026404716,0.32583636,0.4314164,821146.0
VA-11,0.39536536,0.026876602,0.34381235,0.45208713,792714.0
VT-00,0.41885367,0.038811594,0.34565464,0.50550365,648585.0
WA-01,0.46822003,0.03137662,0.4107158,0.5341746,810476.0
WA-02,0.48229548,0.030400725,0.4268456,0.5460754,790108.0
WA-03,0.47557372,0.031101514,0.4191302,0.54081804,802801.0
WA-04,0.4241644,0.031173514,0.36854723,0.4896779,795521.0
WA-05,0.49030834,0.031068506,0.43386737,0.5554348,801747.0
WA-06,0.49015704,0.03056974,0.4345623,0.5543194,800608.0
WA-07,0.5034263,0.030487493,0.44813496,0.5677004,815123.0
WA-08,0.47395414,0.03096943,0.41776475,0.53882796,794868.0
WA-09,0.42174482,0.030601952,0.3663148,0.48600835,776917.0
WA-10,0.44820765,0.030434893,0.39273402,0.51253915,777325.0
WI-01,0.4221835,0.02778582,0.37038955,0.4807156,739669.0
WI-02,0.4559576,0.027965516,0.40404773,0.5147599,763418.0
WI-03,0.44704032,0.02843954,0.39361313,0.5068269,740819.0
WI-04,0.36156458,0.026605213,0.31311607,0.41722864,722785.0
WI-05,0.45908418,0.028254658,0.40589458,0.51839864,750316.0
WI-06,0.44025406,0.028288405,0.38722175,0.49976256,742999.0
WI-07,0.4499223,0.028700233,0.39633247,0.5103967,754074.0
WI-08,0.43556994,0.02821612,0.38275728,0.4951478,747170.0
WV-01,0.3836611,0.034793507,0.3140943,0.452498,881908.0
WV-02,0.38789275,0.034637664,0.31867832,0.45613122,910606.0
WY-00,0.46156266,0.03990218,0.3759146,0.5374938,588050.0
