cd,estimate,sd,q025,q975,pop
TX-13,0.18873559,0.013729167,0.16383734,0.2180035,799821.0
TX-14,0.19521704,0.0138865365,0.1697964,0.22445868,787853.0
TX-15,0.22625923,0.020239336,0.18842739,0.26832277,812529.0
TX-16,0.22825934,0.020099737,0.19044618,0.26978746,784152.0
TX-17,0.19463514,0.013744206,0.16950952,0.22366928,798332.0
TX-18,0.23048578,0.017103167,0.19882134,0.26619726,825562.0
TX-19,0.19490367,0.014623337,0.16793884,0.22585712,787118.0
TX-20,0.22576825,0.0187087,0.19050433,0.2643844,766762.0
TX-21,0.18685873,0.013396713,0.16219424,0.21523495,845967.0
TX-22,0.21906744,0.01576968,0.19004919,0.25215092,894651.0
TX-23,0.21568103,0.017524138,0.18277413,0.25186914,805994.0
TX-24,0.19304651,0.01375359,0.1677215,0.22258236,772864.0
TX-25,0.19325256,0.01362459,0.16831827,0.22229248,826400.0
TX-26,0.20186241,0.014267548,0.1754093,0.23235692,884673.0
TX-27,0.2062199,0.016274335,0.17560765,0.2400137,794553.0
TX-28,0.22454911,0.019305835,0.18823083,0.26453078,828120.0
TX-29,0.23403212,0.019895228,0.19692232,0.27519202,785766.0
TX-30,0.23092757,0.016936107,0.19946854,0.2664459,788933.0
TX-31,0.19423468,0.01376876,0.16910914,0.22382161,901417.0
TX-32,0.21977842,0.015506793,0.19101629,0.2518536,766035.0
TX-33,0.23720483,0.018421214,0.20285557,0.27531213,790800.0
TX-34,0.23233655,0.021491487,0.19209746,0.27641106,811032.0
TX-35,0.2167936,0.016286634,0.18603775,0.25059125,873186.0
TX-36,0.20263816,0.014718205,0.17575862,0.23344758,816135.0
TX-37,0.19965015,0.014012945,0.17376819,0.22979428,776146.0
TX-38,0.2063646,0.014608534,0.17950661,0.23719168,810767.0
UT-01,0.18029219,0.016677244,0.15086605,0.21830377,871885.0
UT-02,0.18728231,0.017049497,0.15713003,0.22603802,881182.0
UT-03,0.17982785,0.016572092,0.15070105,0.21748172,830265.0
UT-04,0.18627177,0.017341128,0.15582891,0.22557697,920858.0
VA-01,0.17448398,0.01407893,0.14438444,0.20078187,823755.0
VA-02,0.18386853,0.01479017,0.15222481,0.21162342,788036.0
VA-03,0.20180099,0.0169667,0.16662873,0.23421548,775311.0
VA-04,0.19894466,0.016534995,0.16449818,0.23015149,810530.0
VA-05,0.1734014,0.01412055,0.14345367,0.19989012,805289.0
VA-06,0.16562924,0.013752107,0.13598102,0.19182323,797798.0
VA-07,0.1931931,0.015599876,0.16021843,0.2228086,825409.0
VA-08,0.1976255,0.015781604,0.1633672,0.22732747,788777.0
VA-09,0.15769085,0.013396924,0.12907846,0.18314983,789057.0
VA-10,0.20074312,0.01653608,0.165758,0.23177364,821146.0
VA-11,0.20619905,0.01717702,0.1704685,0.23850778,792714.0
VT-00,0.16140385,0.01620368,0.12990391,0.19692566,648585.0
WA-01,0.21643293,0.018728347,0.1833294,0.2588988,810476.0
WA-02,0.18943673,0.01606134,0.16123123,0.22521004,790108.0
WA-03,0.18124986,0.015914397,0.15348917,0.21730198,802801.0
WA-04,0.20496482,0.018776368,0.17173499,0.24610302,795521.0
WA-05,0.17513421,0.015572088,0.147872,0.21039206,801747.0
WA-06,0.18084617,0.015660368,0.15351781,0.21636829,800608.0
WA-07,0.20300369,0.017028272,0.17298038,0.241524,815123.0
WA-08,0.19817448,0.016982244,0.16821355,0.23624688,794868.0
WA-09,0.23394276,0.019971445,0.19836138,0.27728927,776917.0
WA-10,0.1979052,0.016857665,0.16812895,0.23613593,777325.0
WI-01,0.19380823,0.018586555,0.16591243,0.23997034,739669.0
WI-02,0.19069354,0.018224264,0.16358078,0.23587489,763418.0
WI-03,0.17850924,0.017588459,0.15251821,0.22152093,740819.0
WI-04,0.23197593,0.0220639,0.19767493,0.2851761,722785.0
WI-05,0.18371293,0.01780596,0.15751727,0.22785923,750316.0
WI-06,0.1828622,0.017832896,0.15635875,0.22672652,742999.0
WI-07,0.17691208,0.017503973,0.15103626,0.22029579,754074.0
WI-08,0.18404067,0.017960405,0.15734686,0.22830248,747170.0
WV-01,0.1530493,0.015364944,0.11945335,0.18093269,881908.0
WV-02,0.1541204,0.015302227,0.120344035,0.1816324,910606.0
WY-00,0.17206354,0.016649477,0.14213686,0.20930204,588050.0
