cd,estimate,sd,q025,q975,pop
VA-02,0.27983853,0.017460963,0.24610585,0.3165084,788036.0
VA-03,0.28453207,0.01884431,0.2485707,0.32353175,775311.0
VA-04,0.28695273,0.01855297,0.25164363,0.32544407,810530.0
VA-05,0.28340843,0.017423933,0.24991895,0.3200173,805289.0
VA-06,0.273365,0.017282076,0.24013402,0.3099651,797798.0
VA-07,0.2751558,0.01769796,0.24099106,0.31230122,825409.0
VA-08,0.28305838,0.017904324,0.24806686,0.32135358,788777.0
VA-09,0.2735689,0.017424468,0.23987614,0.3103913,789057.0
VA-10,0.28044817,0.018336164,0.24523132,0.3188913,821146.0
VA-11,0.29246417,0.018834868,0.25612745,0.33206108,792714.0
VT-00,0.29065368,0.023322916,0.24629645,0.34039053,648585.0
WA-01,0.296305,0.021647315,0.2527922,0.3375675,810476.0
WA-02,0.29539883,0.020779239,0.2529348,0.3347461,790108.0
WA-03,0.2852714,0.02084684,0.24300833,0.32580087,802801.0
WA-04,0.28354943,0.021736022,0.24020524,0.3255189,795521.0
WA-05,0.28673366,0.020895697,0.24446544,0.3273196,801747.0
WA-06,0.29520476,0.020930007,0.25266925,0.335346,800608.0
WA-07,0.2984058,0.020944135,0.25537708,0.33814612,815123.0
WA-08,0.29140168,0.021126933,0.24856591,0.33226472,794868.0
WA-09,0.3033233,0.02217554,0.25898692,0.3452778,776917.0
WA-10,0.28825408,0.020898081,0.245849,0.32810035,777325.0
WI-01,0.25070417,0.01964461,0.2164725,0.29391176,739669.0
WI-02,0.25358298,0.01960485,0.21945442,0.29673374,763418.0
WI-03,0.24859807,0.01941779,0.21470854,0.29096094,740819.0
WI-04,0.26050496,0.02125988,0.2227088,0.3063192,722785.0
WI-05,0.25503218,0.01965129,0.22087489,0.2980958,750316.0
WI-06,0.24999845,0.019502185,0.21593575,0.29272133,742999.0
WI-07,0.2522597,0.019626388,0.21801351,0.29512638,754074.0
WI-08,0.24783176,0.019485258,0.21382278,0.2904439,747170.0
WV-01,0.26402143,0.019959047,0.22326648,0.30413184,881908.0
WV-02,0.26307344,0.019693965,0.22278236,0.30289903,910606.0
WY-00,0.28477797,0.023394937,0.23533307,0.3289706,588050.0
