cd,estimate,sd,q025,q975,pop
MT-01,0.8164045,0.019711616,0.77644306,0.85335505,579148.0
MT-02,0.82314396,0.01950119,0.7828587,0.8595183,558573.0
NC-01,0.88011277,0.012435152,0.85516894,0.9044187,753452.0
NC-02,0.8686693,0.012901358,0.8434693,0.8946561,790783.0
NC-03,0.87955695,0.012048923,0.85549545,0.9037575,775222.0
NC-04,0.86535794,0.013300686,0.83936435,0.89213914,804331.0
NC-05,0.8781021,0.012123949,0.8542238,0.90230334,755187.0
NC-06,0.8787011,0.012135143,0.85465,0.9026177,794209.0
NC-07,0.8753501,0.012249531,0.85128427,0.8999701,805789.0
NC-08,0.876462,0.012321539,0.85200614,0.9009219,788849.0
NC-09,0.8807036,0.012068286,0.856533,0.9046535,790291.0
NC-10,0.8760759,0.012246226,0.8518019,0.9006784,787542.0
NC-11,0.87303126,0.012472987,0.84869015,0.89815086,770847.0
NC-12,0.875724,0.012819288,0.8502382,0.9010312,801631.0
NC-13,0.87887365,0.012162892,0.8545043,0.9031419,835043.0
NC-14,0.875993,0.012284164,0.8516699,0.9005792,792824.0
ND-00,0.8601751,0.015176037,0.82826936,0.88942057,796604.0
NE-01,0.86132187,0.0149098225,0.83063203,0.8907265,672885.0
NE-02,0.85963434,0.015176107,0.82810044,0.88954324,682583.0
NE-03,0.8650691,0.014672598,0.8346071,0.89388335,650261.0
NH-01,0.84772706,0.017506158,0.8106747,0.8799073,709268.0
NH-02,0.84912956,0.017400205,0.8122893,0.8809456,700156.0
NJ-01,0.8547705,0.015981583,0.8206074,0.8839188,784107.0
NJ-02,0.8573174,0.015799211,0.82360137,0.8859469,794132.0
NJ-03,0.84964836,0.016265444,0.81499916,0.8792691,795592.0
NJ-04,0.8492674,0.016474435,0.8143578,0.8791861,795130.0
NJ-05,0.84598064,0.016829649,0.81049424,0.8765417,794124.0
NJ-06,0.85564345,0.016417447,0.82087916,0.8852948,786852.0
NJ-07,0.8441314,0.016644906,0.80865496,0.87437934,789395.0
NJ-08,0.86364895,0.01696905,0.82792205,0.89441985,780400.0
NJ-09,0.86421734,0.016315017,0.8291114,0.8937744,772304.0
NJ-10,0.86112565,0.016922714,0.8259442,0.8917997,800235.0
NJ-11,0.8432087,0.016862497,0.807442,0.8737598,800047.0
NJ-12,0.85239345,0.016884534,0.8167317,0.8828863,808411.0
NM-01,0.82975155,0.01893401,0.7909472,0.86533874,714162.0
NM-02,0.84375155,0.01944813,0.803545,0.8798163,711443.0
NM-03,0.8374028,0.019091625,0.79806787,0.8733974,739622.0
NV-01,0.83582634,0.01971322,0.79340535,0.8702061,793572.0
NV-02,0.82882273,0.019497374,0.78703314,0.8632256,802958.0
NV-03,0.82847095,0.019798687,0.78616023,0.8638434,840861.0
NV-04,0.83601433,0.019813381,0.79311186,0.87101626,833068.0
NY-01,0.84910834,0.015481448,0.8169136,0.8782269,782048.0
NY-02,0.86076593,0.015139728,0.8294369,0.8893409,777587.0
NY-03,0.8474018,0.016317027,0.8140291,0.87819344,775762.0
NY-04,0.8519242,0.01559596,0.8198226,0.880984,777460.0
NY-05,0.8641103,0.016166752,0.83079845,0.89439225,767073.0
NY-06,0.8617794,0.017232217,0.82682586,0.89376754,726983.0
NY-07,0.858971,0.01576404,0.8264152,0.88855624,778244.0
NY-08,0.85858417,0.015917614,0.8257422,0.88838273,739419.0
NY-09,0.8562676,0.016156865,0.8230955,0.8863481,711715.0
NY-10,0.8479842,0.016162774,0.81534344,0.8784482,757268.0
NY-11,0.8584022,0.015473376,0.826518,0.88728905,759700.0
NY-12,0.8310612,0.017293358,0.7957561,0.8636602,754444.0
NY-13,0.8656623,0.01611625,0.83216137,0.8960658,747658.0
NY-14,0.8698583,0.016159736,0.8362345,0.900227,737479.0
NY-15,0.87261355,0.016352471,0.83850664,0.90340316,754452.0
NY-16,0.8522216,0.015817901,0.82013416,0.88239616,773498.0
NY-17,0.85000587,0.015717857,0.81764203,0.8796929,783178.0
NY-18,0.85677093,0.015169782,0.8254593,0.885379,791197.0
NY-19,0.85391307,0.015167614,0.8225827,0.88252205,776407.0
NY-20,0.84947175,0.015450401,0.81726176,0.87887174,790819.0
NY-21,0.85569155,0.015297535,0.82398146,0.884626,767818.0
NY-22,0.85277164,0.015316067,0.82099265,0.8818377,765333.0
NY-23,0.8535873,0.015436879,0.82167363,0.8830491,773659.0
NY-24,0.85600847,0.015291821,0.8242505,0.8848999,772842.0
NY-25,0.85131276,0.015368497,0.81926084,0.8804375,768543.0
NY-26,0.8545097,0.015248081,0.82264143,0.88315886,760763.0
OH-01,0.8555409,0.014023631,0.82684517,0.8826221,809812.0
