cd,estimate,sd,q025,q975,pop
NY-11,0.7825344,0.024366878,0.7285219,0.8236951,759700.0
NY-12,0.8009913,0.022306684,0.7506634,0.83899,754444.0
NY-13,0.757669,0.027216392,0.6986264,0.8044144,747658.0
NY-14,0.7626392,0.027135612,0.70368236,0.8092681,737479.0
NY-15,0.7479163,0.028931526,0.684919,0.7978169,754452.0
NY-16,0.7743754,0.02470802,0.71979046,0.81593156,773498.0
NY-17,0.7992271,0.02267595,0.74877906,0.83725107,783178.0
NY-18,0.80424047,0.02225562,0.7544071,0.8410763,791197.0
NY-19,0.82038957,0.020822002,0.7738389,0.8545115,776407.0
NY-20,0.8130854,0.021312792,0.7653249,0.8484498,790819.0
NY-21,0.8305588,0.020320386,0.7851111,0.863544,767818.0
NY-22,0.8152287,0.021291923,0.7673288,0.85034925,765333.0
NY-23,0.8284335,0.020501623,0.78251183,0.8618403,773659.0
NY-24,0.82973444,0.02038221,0.78424555,0.8628197,772842.0
NY-25,0.8068837,0.021907534,0.7575475,0.84310055,768543.0
NY-26,0.8026876,0.022279657,0.75242954,0.8395793,760763.0
OH-01,0.8316033,0.01824414,0.7960088,0.8695439,809812.0
OH-02,0.8567137,0.016385984,0.82453334,0.89020616,812951.0
OH-03,0.82019216,0.019494178,0.78227127,0.8604424,787293.0
OH-04,0.85129035,0.016654331,0.81861484,0.88530976,810074.0
OH-05,0.85011363,0.01675206,0.8174293,0.88461006,800333.0
OH-06,0.8491197,0.016844833,0.8165016,0.88382506,793305.0
OH-07,0.8488212,0.016750678,0.81593424,0.88335514,789395.0
OH-08,0.8381789,0.017684324,0.80404925,0.87477547,791194.0
OH-09,0.84094757,0.017422844,0.8075265,0.8771707,776198.0
OH-10,0.83739746,0.017670417,0.80332255,0.8744076,790946.0
OH-11,0.7988313,0.021878434,0.7565897,0.8434061,759272.0
OH-12,0.8518759,0.01665178,0.81938267,0.8859751,812667.0
OH-13,0.83927923,0.017507667,0.8054571,0.87572443,784965.0
OH-14,0.84940046,0.01669464,0.8170443,0.8838071,785592.0
OH-15,0.84123486,0.017503195,0.80731094,0.87748307,822958.0
OK-01,0.84007746,0.020181557,0.79743046,0.8800896,829496.0
OK-02,0.8490699,0.020189226,0.8062729,0.8883794,817506.0
OK-03,0.8412803,0.020234104,0.79885393,0.881318,796982.0
OK-04,0.84500283,0.019646412,0.8036759,0.8838646,819547.0
OK-05,0.839406,0.020048423,0.7969194,0.8793108,836446.0
OR-01,0.81699413,0.021539554,0.76706696,0.85398495,717097.0
OR-02,0.8283377,0.02094696,0.7801771,0.8641539,704731.0
OR-03,0.81866336,0.021381328,0.7695055,0.8552299,700356.0
OR-04,0.8313471,0.02041862,0.78424907,0.86596864,713359.0
OR-05,0.83110213,0.02046722,0.78431666,0.866162,717262.0
OR-06,0.8216677,0.02145816,0.7722055,0.85845107,721521.0
PA-01,0.84971905,0.01965959,0.8138488,0.89010257,768126.0
PA-02,0.81292707,0.02413531,0.76864934,0.8625328,738511.0
PA-03,0.80006605,0.025476642,0.7536571,0.85215455,767660.0
PA-04,0.8431938,0.020261576,0.805965,0.8848128,786156.0
PA-05,0.82719964,0.022045823,0.7868995,0.8721803,768237.0
PA-06,0.8421825,0.020588411,0.8045258,0.88473,795973.0
PA-07,0.8433368,0.020509329,0.80594325,0.88567215,788415.0
PA-08,0.8474132,0.020003794,0.8106438,0.8887128,773145.0
PA-09,0.8577594,0.019178204,0.82225096,0.8970502,797701.0
PA-10,0.8442185,0.02026699,0.8074481,0.8856907,792544.0
PA-11,0.85435855,0.019409502,0.81850004,0.8940306,781872.0
PA-12,0.84526414,0.019883635,0.80937225,0.88597304,754674.0
PA-13,0.85976326,0.018978234,0.82456696,0.89826626,792899.0
PA-14,0.8606591,0.018716352,0.8259948,0.89852244,767341.0
PA-15,0.861178,0.018755183,0.8262645,0.89905196,778819.0
PA-16,0.8585062,0.018858068,0.82391053,0.89671206,758941.0
PA-17,0.8538954,0.019166827,0.81877023,0.892956,753367.0
RI-01,0.82617015,0.024005463,0.77601796,0.8726957,556794.0
RI-02,0.83156997,0.023398582,0.78228956,0.87703776,556679.0
SC-01,0.84165394,0.019468667,0.8060591,0.8833033,797423.0
SC-02,0.83196646,0.02044972,0.7947963,0.87580395,764379.0
SC-03,0.84547895,0.019167114,0.8102326,0.8859674,766744.0
SC-04,0.8397731,0.019800263,0.80345905,0.8816067,810342.0
SC-05,0.8355212,0.020137312,0.79862607,0.8783082,782705.0
SC-06,0.8129885,0.022552023,0.77155423,0.8612041,762971.0
SC-07,0.8329755,0.020328127,0.7954792,0.87620205,794116.0
SD-00,0.8438104,0.022160552,0.79201645,0.8826667,924668.0
TN-01,0.8515726,0.016826702,0.8159515,0.8837614,806544.0
TN-02,0.8477176,0.016937245,0.81140125,0.8801672,813874.0
TN-03,0.84346735,0.017271088,0.80644363,0.8767656,809822.0
TN-04,0.842674,0.017459145,0.80563676,0.8763976,826459.0
TN-05,0.83359945,0.018121611,0.7948326,0.8685109,835178.0
TN-06,0.8447474,0.01722155,0.8080371,0.8778674,803126.0
TN-07,0.8385281,0.01760652,0.8010591,0.87259275,816221.0
TN-08,0.83167124,0.01823022,0.7932616,0.8667085,774949.0
TN-09,0.7782098,0.024757002,0.72599334,0.8259238,749913.0
TX-01,0.815309,0.016441597,0.7797068,0.8447463,795914.0
TX-02,0.80678356,0.01715382,0.7700364,0.8374545,882044.0
TX-03,0.8039644,0.017390316,0.76709986,0.8350434,920586.0
TX-04,0.812985,0.01665327,0.77764165,0.8428461,874620.0
TX-05,0.80143076,0.017634556,0.76398224,0.83355725,856420.0
TX-06,0.80440533,0.017407745,0.7674831,0.83602214,848544.0
TX-07,0.7790548,0.019382736,0.73833215,0.81452584,770248.0
TX-08,0.80345416,0.01730699,0.7664552,0.8345342,946784.0
TX-09,0.76318866,0.020895097,0.7187378,0.8008044,822784.0
TX-10,0.814661,0.01625509,0.7800682,0.8438152,832966.0
TX-11,0.8060402,0.017687442,0.7689031,0.8382967,801997.0
TX-12,0.8169074,0.016210822,0.7822316,0.8462374,852228.0
TX-13,0.8197998,0.016227283,0.78562987,0.84904265,799821.0
TX-14,0.81100947,0.01664837,0.77554154,0.84117323,787853.0
TX-15,0.7849895,0.02231867,0.73882043,0.8264667,812529.0
TX-16,0.78152627,0.022332964,0.73515993,0.8226954,784152.0
TX-17,0.8118542,0.016519202,0.77621514,0.8417154,798332.0
TX-18,0.77740633,0.019873237,0.73555595,0.81356925,825562.0
TX-19,0.81445855,0.016999215,0.7789446,0.8453386,787118.0
TX-20,0.78800154,0.020758172,0.74499285,0.82631356,766762.0
TX-21,0.8154392,0.016333116,0.7810412,0.84463936,845967.0
TX-22,0.79108185,0.018336056,0.75284344,0.82449883,894651.0
TX-23,0.7960359,0.019673614,0.7552865,0.8322764,805994.0
TX-24,0.81459,0.016435087,0.7800333,0.8440344,772864.0
TX-25,0.81328297,0.016427103,0.77794737,0.8427105,826400.0
TX-26,0.8102533,0.016700326,0.7750554,0.84027374,884673.0
TX-27,0.800708,0.018756762,0.761814,0.8350691,794553.0
TX-28,0.7859169,0.021501295,0.74140376,0.825711,828120.0
TX-29,0.77729726,0.022080047,0.73158735,0.8182553,785766.0
TX-30,0.77157795,0.0201989,0.72857654,0.8075818,788933.0
TX-31,0.81620735,0.016264118,0.78193504,0.84552956,901417.0
TX-32,0.7917155,0.01817733,0.7526181,0.82442766,766035.0
TX-33,0.77685976,0.020674046,0.73357326,0.81508905,790800.0
TX-34,0.7780835,0.023616076,0.729082,0.8217532,811032.0
TX-35,0.79793423,0.018421553,0.7593131,0.83161193,873186.0
TX-36,0.80693203,0.017248718,0.77056223,0.83818257,816135.0
TX-37,0.8138454,0.01643499,0.7789827,0.8431901,776146.0
TX-38,0.8031618,0.017229987,0.76709825,0.8339664,810767.0
UT-01,0.8526899,0.019736879,0.81575924,0.8936532,871885.0
UT-02,0.8454098,0.020463686,0.8071243,0.8878136,881182.0
UT-03,0.8515917,0.019802095,0.8144268,0.8926976,830265.0
UT-04,0.85100627,0.020202028,0.81279415,0.8925565,920858.0
VA-01,0.8195226,0.020309389,0.7724061,0.8547419,823755.0
VA-02,0.81251204,0.02101927,0.7645274,0.84905255,788036.0
VA-03,0.79001635,0.02382609,0.73655087,0.83175,775311.0
VA-04,0.79005504,0.02359063,0.7367737,0.83113617,810530.0
VA-05,0.8173291,0.020589914,0.7705266,0.8528181,805289.0
VA-06,0.8312698,0.019556766,0.78546625,0.86481994,797798.0
VA-07,0.80653507,0.02177312,0.75677866,0.8446036,825409.0
VA-08,0.8044901,0.021860713,0.7539627,0.8430894,788777.0
VA-09,0.83731276,0.01910074,0.7928489,0.869844,789057.0
VA-10,0.80431265,0.02215792,0.75358206,0.8434409,821146.0
VA-11,0.7967019,0.022880886,0.74456364,0.837736,792714.0
VT-00,0.8436781,0.023127785,0.79189456,0.88708824,648585.0
