cd,estimate,sd,q025,q975,pop
KY-04,0.83665025,0.021724707,0.78968596,0.8780764,776110.0
KY-05,0.8431622,0.02136893,0.7970906,0.88399744,772551.0
KY-06,0.82420355,0.022670953,0.7755322,0.86779,777325.0
LA-01,0.82217646,0.0249325,0.7739196,0.8730145,798550.0
LA-02,0.7891612,0.028670426,0.73345757,0.84786546,736229.0
LA-03,0.82537,0.024789607,0.7770867,0.8758497,777815.0
LA-04,0.8240866,0.024794767,0.7758238,0.87461674,767411.0
LA-05,0.8172812,0.025538914,0.7674573,0.86942613,763961.0
LA-06,0.79184896,0.028851034,0.7356244,0.850808,753613.0
MA-01,0.7842563,0.024639873,0.7336638,0.83160394,779946.0
MA-02,0.7756588,0.025025161,0.7254163,0.82361615,801932.0
MA-03,0.78344727,0.024899296,0.73278093,0.8306271,792172.0
MA-04,0.7775391,0.024896843,0.72732466,0.82516223,802351.0
MA-05,0.7655116,0.02591115,0.71326387,0.8151996,790991.0
MA-06,0.7733936,0.025251683,0.7229604,0.82180333,796608.0
MA-07,0.76254064,0.02618824,0.7086607,0.81291324,792910.0
MA-08,0.7674102,0.025546074,0.7160989,0.81626654,785102.0
MA-09,0.7767795,0.02497107,0.7262617,0.8252426,797322.0
MD-01,0.79269046,0.02365494,0.7409985,0.8346453,791828.0
MD-02,0.768073,0.025432238,0.7126269,0.81324923,783072.0
MD-03,0.7734322,0.025038775,0.7185279,0.8181549,782813.0
MD-04,0.7383103,0.028733542,0.67578614,0.78949314,763408.0
MD-05,0.75275284,0.026600203,0.6952727,0.80020154,805327.0
MD-06,0.7918118,0.023977846,0.7393693,0.8341636,821653.0
MD-07,0.7527965,0.027575407,0.69279766,0.8023557,741555.0
MD-08,0.75515115,0.0265783,0.6979783,0.80273193,773402.0
ME-01,0.778331,0.031804677,0.7100552,0.83748204,707680.0
ME-02,0.7950267,0.030420274,0.7296158,0.8514157,697214.0
MI-01,0.78953296,0.021011174,0.7474893,0.8300857,787656.0
MI-02,0.7973753,0.020646295,0.75593585,0.8371238,789195.0
MI-03,0.78236717,0.021587173,0.7391176,0.82398844,791156.0
MI-04,0.7880068,0.021154916,0.7456235,0.8285777,785326.0
MI-05,0.7952923,0.020764261,0.7532952,0.83523935,775211.0
MI-06,0.7626082,0.022737894,0.71768385,0.8070816,768984.0
MI-07,0.7849647,0.021215618,0.74259275,0.8260834,792603.0
MI-08,0.7831329,0.021536503,0.7392389,0.82466805,769274.0
MI-09,0.7978365,0.020579206,0.7561948,0.83742416,782419.0
MI-10,0.7820336,0.021612963,0.7387538,0.8236353,775276.0
MI-11,0.7612706,0.022724424,0.7162246,0.8057456,787152.0
MI-12,0.74544823,0.025273329,0.6949471,0.79533076,751670.0
MI-13,0.75290734,0.025028849,0.70261955,0.8019283,784586.0
MN-01,0.7390743,0.033546858,0.665857,0.79406,718068.0
MN-02,0.72645384,0.034474287,0.6507648,0.78328234,745975.0
MN-03,0.71132517,0.03525728,0.6342605,0.76961464,710629.0
MN-04,0.7179088,0.035027757,0.6410567,0.77592784,708457.0
MN-05,0.7096814,0.03563975,0.6324557,0.7690278,707252.0
MN-06,0.74081016,0.033477448,0.6672698,0.7958723,755040.0
MN-07,0.7457943,0.03319304,0.67347664,0.80003226,722404.0
MN-08,0.7426709,0.033150632,0.67003435,0.7967066,727354.0
MO-01,0.72737736,0.027023524,0.6716118,0.7793807,743100.0
MO-02,0.7681041,0.023364138,0.71903807,0.8125285,773870.0
MO-03,0.78306836,0.022334382,0.73553646,0.8255119,799866.0
MO-04,0.7917687,0.021963455,0.7452535,0.8330351,784159.0
MO-05,0.76216733,0.023971949,0.71176344,0.80793995,776461.0
MO-06,0.7912058,0.02197127,0.7444244,0.8327147,788849.0
MO-07,0.7933,0.021797242,0.7472523,0.8342608,802980.0
MO-08,0.793202,0.021927271,0.74628174,0.8346927,781267.0
MS-01,0.78971857,0.02978111,0.72106063,0.83865106,753742.0
MS-02,0.74462694,0.035058334,0.664123,0.80178964,694687.0
MS-03,0.7793572,0.03070462,0.70846486,0.829895,734712.0
MS-04,0.79613906,0.029125663,0.7289486,0.84365374,759792.0
MT-01,0.7611195,0.034525223,0.6847953,0.8267145,579148.0
MT-02,0.77242225,0.03367303,0.69828063,0.8356732,558573.0
NC-01,0.77539086,0.02410476,0.7241357,0.81986964,753452.0
NC-02,0.77660906,0.023372497,0.7269885,0.8191444,790783.0
NC-03,0.7979028,0.02187614,0.7509192,0.8374572,775222.0
NC-04,0.7730532,0.023690883,0.7230214,0.8160256,804331.0
NC-05,0.8005885,0.021673106,0.7538081,0.8396061,755187.0
NC-06,0.79813117,0.021881599,0.75064665,0.83778167,794209.0
NC-07,0.79124147,0.022234023,0.7436452,0.8315587,805789.0
NC-08,0.7954262,0.021957614,0.7478172,0.8354273,788849.0
NC-09,0.7984169,0.021914702,0.75124204,0.83823484,790291.0
NC-10,0.7982256,0.021791387,0.7510408,0.83796227,787542.0
NC-11,0.8060216,0.021374963,0.7592655,0.84510916,770847.0
NC-12,0.7708646,0.024278786,0.71917844,0.81517637,801631.0
NC-13,0.7978222,0.021913119,0.7505654,0.8375057,835043.0
NC-14,0.8002692,0.021591399,0.7536008,0.8397474,792824.0
ND-00,0.8033598,0.030062767,0.74606663,0.8652063,796604.0
NE-01,0.77725625,0.031761065,0.707246,0.8350817,672885.0
NE-02,0.76712906,0.032828625,0.6950107,0.8267635,682583.0
NE-03,0.78225505,0.03148284,0.7132026,0.8394203,650261.0
NH-01,0.76311624,0.036624003,0.67723924,0.82318604,709268.0
NH-02,0.7638443,0.036563884,0.6782869,0.82384586,700156.0
NJ-01,0.7707321,0.025240673,0.7183474,0.81769675,784107.0
NJ-02,0.77906793,0.024759423,0.7275935,0.8255269,794132.0
NJ-03,0.7654393,0.025453761,0.71269804,0.8134089,795592.0
NJ-04,0.78503734,0.024309807,0.73437756,0.83110684,795130.0
NJ-05,0.7594738,0.026157549,0.70532924,0.80880755,794124.0
